FID,destino,definitiva,utilidadpu,nombreofic,numeroparc,nomenclatu,shape_area,shape_len,geom
catastro-sde-parcela.20,1,2,2,,11,15-21-056-011,252.97644258,65.74214659,"MULTIPOLYGON (((-64.19141251101773 -31.370608096561018, -64.19140762716165 -31.370581001044993, -64.19139768224777 -31.370503068109446, -64.19118038848362 -31.3705431037715, -64.19121588391505 -31.37065922416316, -64.19141251101773 -31.370608096561018)))"
catastro-sde-parcela.21,1,2,2,,2,15-21-054-002,208.01968322,63.00812111,"MULTIPOLYGON (((-64.19286953655858 -31.36990949327379, -64.19284004445998 -31.369711214576636, -64.19273927655823 -31.369724477005466, -64.19277432527446 -31.369920570746487, -64.19286953655858 -31.36990949327379)))"
catastro-sde-parcela.22,1,2,2,,1,15-21-054-001,209.77287327,63.35527393,"MULTIPOLYGON (((-64.19297067108309 -31.369897730723935, -64.19293509551675 -31.369698706544803, -64.19284004445998 -31.369711214576636, -64.19286953655858 -31.36990949327379, -64.19297067108309 -31.369897730723935)))"
catastro-sde-parcela.23,1,2,2,,6,15-21-056-006,216.5772795,60.3185636,"MULTIPOLYGON (((-64.19102508021435 -31.369950172013983, -64.19106367087048 -31.370114599108764, -64.19118071438001 -31.370094841500666, -64.19115250785633 -31.369933404584053, -64.19102508021435 -31.369950172013983)))"
catastro-sde-parcela.24,1,1,2,,28,04-03-011-028,200.3061108,60.00985916,"MULTIPOLYGON (((-64.17686235584661 -31.41013189261959, -64.17697179734965 -31.41009779421027, -64.17693707021627 -31.41001205669209, -64.17682743878959 -31.410046721635354, -64.17673891171657 -31.410075767086123, -64.17677284903318 -31.41015855342682, -64.17686235584661 -31.41013189261959)))"
catastro-sde-parcela.25,1,1,2,,27,04-03-011-027,291.88658133,69.19096094,"MULTIPOLYGON (((-64.17691318634644 -31.410255892191838, -64.17702170757678 -31.410221020048933, -64.17697179734965 -31.41009779421027, -64.17686235584661 -31.41013189261959, -64.17677284903318 -31.41015855342682, -64.17682378544262 -31.410282808227283, -64.17691318634644 -31.410255892191838)))"
catastro-sde-parcela.26,1,1,2,,0,04-03-011-000,81.6405694,37.13653582,"MULTIPOLYGON (((-64.17665259166345 -31.40930968945677, -64.17654075115003 -31.40934737175711, -64.1765650928041 -31.409406754747792, -64.1766778961657 -31.40937216485096, -64.17665259166345 -31.40930968945677)))"
catastro-sde-parcela.27,1,1,2,,31,04-03-011-031,78.10954017,36.48941708,"MULTIPOLYGON (((-64.1766778961657 -31.40937216485096, -64.1765650928041 -31.409406754747792, -64.1765891919441 -31.409465535243967, -64.17670141734277 -31.409430238831295, -64.1766778961657 -31.40937216485096)))"
catastro-sde-parcela.28,1,1,2,,0,04-03-011-000,82.82051689,37.28156208,"MULTIPOLYGON (((-64.1767255889868 -31.409489917308424, -64.17661398317271 -31.40952601854132, -64.17663883486127 -31.40958663565895, -64.17675145692735 -31.409553785915705, -64.1767255889868 -31.409489917308424)))"
catastro-sde-parcela.29,1,1,2,,0,04-03-011-000,76.99795537,36.18887927,"MULTIPOLYGON (((-64.17679947200709 -31.409672333268887, -64.17668797297095 -31.409706510257752, -64.17671202684451 -31.409765181956683, -64.1768229124901 -31.409730206391174, -64.17679947200709 -31.409672333268887)))"
catastro-sde-parcela.30,1,1,2,,32,04-01-052-032,843.93057134,154.39959888,"MULTIPOLYGON (((-64.19701424373518 -31.41213174416668, -64.1970167400096 -31.412137839370306, -64.19716156161911 -31.41209715515164, -64.19715872825414 -31.41209073554686, -64.19714493514509 -31.41205953270154, -64.19713397284764 -31.412057682379, -64.1970516496493 -31.411860781589663, -64.19702013306551 -31.411784987112593, -64.19699065623983 -31.411714809164025, -64.19695881657427 -31.411639013486692, -64.19692727076921 -31.41156321925483, -64.19684282545067 -31.41158824257314, -64.19679699283411 -31.411601621501465, -64.19701424373518 -31.41213174416668)))"
catastro-sde-parcela.31,1,1,2,,67,04-01-047-067,900.42067088,142.12186638,"MULTIPOLYGON (((-64.20386192011965 -31.409680554079394, -64.20402014669503 -31.41006088484716, -64.2040226167879 -31.410066816379533, -64.20427437991466 -31.409992460874065, -64.2042085174005 -31.40982945882887, -64.20420202533403 -31.40983141795006, -64.2041103321067 -31.409859130328663, -64.20406451503146 -31.40974514414553, -64.20401970836896 -31.409633970441543, -64.20386192011965 -31.409680554079394)))"
catastro-sde-parcela.32,1,1,2,,1,04-01-044-001,309.18754687,72.63029626,"MULTIPOLYGON (((-64.20554245857484 -31.408450130483374, -64.20561805384384 -31.4086393662877, -64.20574751831096 -31.408599992768625, -64.20575389787162 -31.408598051426566, -64.20567510286173 -31.40840519653342, -64.20554066282224 -31.408445628828847, -64.20554245857484 -31.408450130483374)))"
catastro-sde-parcela.33,1,1,2,,3,04-01-016-003,216.68383229,73.58668702,"MULTIPOLYGON (((-64.19812744278343 -31.406730204184978, -64.19822701203026 -31.40697212036353, -64.1982973913115 -31.406950599805977, -64.19820305703878 -31.406707996438193, -64.19820221677445 -31.40670583320463, -64.1981995594771 -31.406699004628805, -64.19812394652163 -31.406721699491413, -64.19812686174943 -31.406728790219884, -64.19812744278343 -31.406730204184978)))"
catastro-sde-parcela.34,1,2,2,,2,04-01-016-002,212.46963428,73.2278422,"MULTIPOLYGON (((-64.19820305703878 -31.406707996438193, -64.1982973913115 -31.406950599805977, -64.19836905596893 -31.406928512872174, -64.19827490547884 -31.40668689889858, -64.1982737868809 -31.406684024370016, -64.19827124101866 -31.406677488711768, -64.1981995594771 -31.406699004628805, -64.19820221677445 -31.40670583320463, -64.19820305703878 -31.406707996438193)))"
catastro-sde-parcela.35,1,1,2,,54,04-01-016-054,147.73266636,78.60377008,"MULTIPOLYGON (((-64.19828275707539 -31.407220715861666, -64.19831760581395 -31.40729985525027, -64.19845411945498 -31.40726025939429, -64.19842593863761 -31.407188385646936, -64.19858502549634 -31.40714237608397, -64.19858129047195 -31.40713281118961, -64.19842242396119 -31.407179591376593, -64.19828275707539 -31.407220715861666)))"
catastro-sde-parcela.36,1,1,2,,17,14-26-004-017,626.69701971,100.31949086,"MULTIPOLYGON (((-64.21631812714502 -31.359067134715502, -64.21630109229696 -31.35894819243758, -64.21628780493151 -31.358855385375502, -64.21600790750206 -31.358895266641525, -64.21604836030498 -31.359105584611427, -64.216097848291 -31.359098551802447, -64.21631812714502 -31.359067134715502)))"
catastro-sde-parcela.37,1,1,2,,16,14-26-004-016,385.26142269,79.87341495,"MULTIPOLYGON (((-64.21604836030498 -31.359105584611427, -64.21600790750206 -31.358895266641525, -64.21583902127352 -31.3589193300747, -64.21587934192365 -31.35912967455209, -64.21604836030498 -31.359105584611427)))"
catastro-sde-parcela.38,1,1,2,,14,14-26-004-014,426.04200777,83.32460186,"MULTIPOLYGON (((-64.21569356960921 -31.35915622852144, -64.21565299523836 -31.35894591158079, -64.21546608881013 -31.358972538954834, -64.21550683882576 -31.359182845897255, -64.21565110128985 -31.359162283382194, -64.21569356960921 -31.35915622852144)))"
catastro-sde-parcela.39,1,1,2,,10,14-28-007-010,251.37114877,68.0170509,"MULTIPOLYGON (((-64.20735173406075 -31.36651179117614, -64.20739148378523 -31.36671770072876, -64.20749803922693 -31.36670316294553, -64.20750324732875 -31.366702454608202, -64.20746535762261 -31.366496200029523, -64.20735173406075 -31.36651179117614)))"
catastro-sde-parcela.40,1,1,2,,17,14-28-009-017,248.32653256,69.48293516,"MULTIPOLYGON (((-64.21330813159237 -31.365885743077115, -64.2132912134352 -31.365796279249736, -64.21303515550893 -31.365830272228223, -64.21305205119018 -31.365920290627745, -64.21310648789989 -31.365913023144852, -64.21320682402994 -31.365899097985025, -64.21330813159237 -31.365885743077115)))"
catastro-sde-parcela.41,1,1,2,,12,14-26-007-012,291.66858344,73.07928387,"MULTIPOLYGON (((-64.21528375082457 -31.359459647428277, -64.21532370290211 -31.35968021694679, -64.21544630145155 -31.35966269869295, -64.21540537573604 -31.35944216783711, -64.21528375082457 -31.359459647428277)))"
catastro-sde-parcela.42,1,1,2,,13,14-26-007-013,306.82902528,74.29503485,"MULTIPOLYGON (((-64.21515326945824 -31.35947836983588, -64.21519717720905 -31.359698318209215, -64.21532370290211 -31.35968021694679, -64.21528375082457 -31.359459647428277, -64.21515326945824 -31.35947836983588)))"
catastro-sde-parcela.43,1,1,2,,33,14-26-007-033,306.4083195,74.70073461,"MULTIPOLYGON (((-64.2168877066642 -31.359457418576287, -64.2166260909456 -31.35949426799096, -64.2166468543466 -31.35960173144323, -64.21690781683954 -31.359566576342974, -64.2168877066642 -31.359457418576287)))"
catastro-sde-parcela.44,1,1,2,,14,14-26-007-014,299.78867053,73.75412919,"MULTIPOLYGON (((-64.21502937890803 -31.3594958706483, -64.2150498391242 -31.359607297308404, -64.21506964841525 -31.359716433048153, -64.21507193618754 -31.359715857055967, -64.21519717720905 -31.359698318209215, -64.21515326945824 -31.35947836983588, -64.21502937890803 -31.3594958706483)))"
catastro-sde-parcela.45,1,1,2,,15,14-26-007-015,314.24230493,74.85525521,"MULTIPOLYGON (((-64.21502937890803 -31.3594958706483, -64.2147716895329 -31.359532149977735, -64.21479583307061 -31.35964689293657, -64.2150498391242 -31.359607297308404, -64.21502937890803 -31.3594958706483)))"
catastro-sde-parcela.46,1,1,2,,31,14-26-007-031,296.84131668,74.24938794,"MULTIPOLYGON (((-64.21650577568231 -31.35951120719182, -64.21654845276011 -31.359737948774008, -64.21666973709694 -31.359720996138716, -64.2166468543466 -31.35960173144323, -64.2166260909456 -31.35949426799096, -64.21650577568231 -31.35951120719182)))"
catastro-sde-parcela.47,1,1,2,,30,14-26-007-030,315.61796754,75.68156039,"MULTIPOLYGON (((-64.21637793651729 -31.359529880590294, -64.21641896199966 -31.359756079358213, -64.21654845276011 -31.359737948774008, -64.21650577568231 -31.35951120719182, -64.21637793651729 -31.359529880590294)))"
catastro-sde-parcela.48,1,1,2,,15,14-26-008-015,381.52485509,82.30318548,"MULTIPOLYGON (((-64.21731427794258 -31.35950691394681, -64.21703434206245 -31.359546201522, -64.21705861153889 -31.359672785161216, -64.21733919408855 -31.3596312447052, -64.21731427794258 -31.35950691394681)))"
catastro-sde-parcela.49,1,1,2,,6,14-26-009-006,302.18997636,73.63510155,"MULTIPOLYGON (((-64.21886037391772 -31.359526597048387, -64.21888151879092 -31.35963801651817, -64.21913654249164 -31.359600066119956, -64.2191124808603 -31.35949207593904, -64.21886037391772 -31.359526597048387)))"
catastro-sde-parcela.50,1,1,2,,2,14-27-002-002,246.14173388,62.98573285,"MULTIPOLYGON (((-64.21265717619556 -31.359581770176906, -64.21268182126273 -31.359710618872967, -64.21285817322061 -31.35968582547245, -64.21283550948073 -31.359558087724434, -64.21265717619556 -31.359581770176906)))"
